Subject,Date,Order,Name,Rating,Trigger,Memory
15,2024-04-18,43,m_iads_ManWheeze_244_s.wav,3,,No
15,2024-04-18,16,m_IADS_Vomit_255_s.wav,-2,No,
15,2024-04-18,107,m_iads_Whistling_270_s.wav,0,,No
15,2024-04-18,13,m_IceCubesCrunchingChewing_s.wav,1,,No
15,2024-04-18,49,m_Keyboard2_s.wav,0,,No
15,2024-04-18,46,m_Keyboard_s.wav,2,,No
15,2024-04-18,45,m_LipsSmacking_s.wav,1,,No
15,2024-04-18,61,m_PenClicking_s.wav,1,,No
15,2024-04-18,51,m_RunnyNose_s.wav,4,,No
15,2024-04-18,30,m_SippingCoffeeCombined_s.wav,6,,No
15,2024-04-18,103,m_SlowHardBreathing_s.wav,0,,No
15,2024-04-18,90,m_SlurpingEatingCombined_s.wav,0,,No
15,2024-04-18,14,m_SlurpingNoodles_s.wav,3,,Yes
15,2024-04-18,62,m_SneezeReady_s.wav,3,,No
15,2024-04-18,28,m_Sneeze_s.wav,3,,No
15,2024-04-18,50,m_Sneezing_s.wav,2,,No
15,2024-04-18,2,m_Sniffing_s.wav,-6,Yes,
15,2024-04-18,97,m_Sniffling_s.wav,0,,No
15,2024-04-18,75,m_SnoringD_s.wav,0,,No
15,2024-04-18,37,m_Snoring_s.wav,6,,No
15,2024-04-18,64,m_SoftChewing_s.wav,2,,No
15,2024-04-18,18,m_ThroatClearing3_s.wav,1,,No
15,2024-04-18,101,m_ThroatClearing4_s.wav,0,,No
15,2024-04-18,73,m_ThroatClearing5_s.wav,2,,No
15,2024-04-18,67,m_ThroatClearingD_s.wav,0,,No
15,2024-04-18,17,m_Typing_s.wav,1,,Yes
15,2024-04-18,89,m_WalkingInHeels_s.wav,0,,No
15,2024-04-18,41,m_WaterPouring_s.wav,8,,No
15,2024-04-18,3,m_Whistling2_s.wav,2,,Yes
15,2024-04-18,99,m_Whistling_s.wav,0,,No
15,2024-04-18,83,m_Yawning_s.wav,0,,No
15,2024-04-18,21,m_Yawn_s.wav,1,,No
15,2024-04-18,25,n_BirdsSinging_s.wav,9,,No
15,2024-04-18,54,n_BugsAtNight_s.wav,9,,No
15,2024-04-18,42,n_Faucet Sound_s.wav,7,,No
15,2024-04-18,94,n_Harp_s.wav,9,,No
15,2024-04-18,58,n_PourIntoCup_s.wav,7,,No
15,2024-04-18,34,n_RainOnTrees_s.wav,7,,No
15,2024-04-18,10,n_RobinChirping_s.wav,6,,No
15,2024-04-18,77,n_VaccuumCleaner_s.wav,0,,No
15,2024-04-18,8,n_WashingMachine_s.wav,0,,No
15,2024-04-18,66,n_WaterStream_s.wav,9,,No
15,2024-04-18,108,n_WindChimes_s.wav,3,,No
